date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:21:10	228/228	---MCZ	200	added ('OK')	text/plain	date:Sat,%2018%20Apr%202026%2020:21:10%20GMT	https://www.flowparagliders.com.au/robots.txt		(from )
23:21:11	223981/223981	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Apr%202026%2020:21:10%20GMT	https://www.flowparagliders.com.au/	C:/My%20Web%20Sitesf/flow/www.flowparagliders.com.au/index.html	(from )
23:21:14	2571/2571	---MCZ	200	added ('OK')	application/json	date:Sat,%2018%20Apr%202026%2020:21:13%20GMT	https://www.flowparagliders.com.au/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.flowparagliders.com.au%2F	C:/My%20Web%20Sitesf/flow/www.flowparagliders.com.au/wp-json/oembed/1.0/embed25a6.json	(from https://www.flowparagliders.com.au/)
23:21:14	0/0	---M--	307	error ('Temporary%20Redirect')	application/rss+xml	etag:%224242e62ef954dbadc1a9ef9399bba089%22	https://www.flowparagliders.com.au/feed/	C:/My%20Web%20Sitesf/flow/www.flowparagliders.com.au/feed/index.html	(from https://www.flowparagliders.com.au/)
23:21:14	0/0	---M--	307	error ('Temporary%20Redirect')	application/rss+xml	etag:%224d427e1c89a9c83a2c1c43496bb1935f%22	https://www.flowparagliders.com.au/comments/feed/	C:/My%20Web%20Sitesf/flow/www.flowparagliders.com.au/comments/feed/index.html	(from https://www.flowparagliders.com.au/)
23:21:16	2770/2770	---MCZ	200	added ('OK')	text/xml	date:Sat,%2018%20Apr%202026%2020:21:15%20GMT	https://www.flowparagliders.com.au/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.flowparagliders.com.au%2F&format=xml	C:/My%20Web%20Sitesf/flow/www.flowparagliders.com.au/wp-json/oembed/1.0/embed04da	(from https://www.flowparagliders.com.au/)
23:21:16	2397/2397	---MCZ	200	added ('OK')	text/css	etag:W/%2269b07ce9-95d%22	https://www.flowparagliders.com.au/wp-content/plugins/contact-form-7/includes/css/contact-form-7.min.css?ver=6.1.5	C:/My%20Web%20Sitesf/flow/www.flowparagliders.com.au/wp-content/plugins/contact-form-7/includes/css/contact-form-7.minb5e1.css	(from https://www.flowparagliders.com.au/)
23:21:17	19719/19719	---MCZ	200	added ('OK')	text/css	etag:W/%2269ba2342-4d07%22	https://www.flowparagliders.com.au/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.min.css?ver=10.6.1	C:/My%20Web%20Sitesf/flow/www.flowparagliders.com.au/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.minaf94.css	(from https://www.flowparagliders.com.au/)
23:21:17	7526/7526	---MCZ	200	added ('OK')	text/css	etag:W/%2269ba2342-1d66%22	https://www.flowparagliders.com.au/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.min.css?ver=10.6.1	C:/My%20Web%20Sitesf/flow/www.flowparagliders.com.au/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.minaf94.css	(from https://www.flowparagliders.com.au/)
23:21:18	87193/87193	---MCZ	200	added ('OK')	text/css	etag:W/%2269ba2342-15499%22	https://www.flowparagliders.com.au/wp-content/plugins/woocommerce/assets/css/woocommerce-general.min.css?ver=10.6.1	C:/My%20Web%20Sitesf/flow/www.flowparagliders.com.au/wp-content/plugins/woocommerce/assets/css/woocommerce-general.minaf94.css	(from https://www.flowparagliders.com.au/)
23:21:18	124/124	---MCZ	200	added ('OK')	text/css	etag:W/%2269b07d20-7c%22	https://www.flowparagliders.com.au/wp-content/plugins/wpcf7-redirect/build/assets/wpcf7-redirect-script-frontend.min.css?ver=2c532d7e2be36f6af233	C:/My%20Web%20Sitesf/flow/www.flowparagliders.com.au/wp-content/plugins/wpcf7-redirect/build/assets/wpcf7-redirect-script-frontend.min413f.css	(from https://www.flowparagliders.com.au/)
23:21:19	27196/27196	---MCZ	200	added ('OK')	text/css	etag:W/%2261a03dce-6a3c%22	https://www.flowparagliders.com.au/wp-content/plugins/divi-modules-table-maker/styles/style.min.css?ver=2.0.2	C:/My%20Web%20Sitesf/flow/www.flowparagliders.com.au/wp-content/plugins/divi-modules-table-maker/styles/style.min4c56.css	(from https://www.flowparagliders.com.au/)
23:21:20	824698/824698	---MCZ	200	added ('OK')	text/css	etag:W/%2269ba23c2-c957a%22	https://www.flowparagliders.com.au/wp-content/themes/Divi/style-static.min.css?ver=4.27.6	C:/My%20Web%20Sitesf/flow/www.flowparagliders.com.au/wp-content/themes/Divi/style-static.min899e.css	(from https://www.flowparagliders.com.au/)
23:21:20	87553/87553	---MCZ	200	added ('OK')	application/javascript	etag:W/%22654c16e0-15601%22	https://www.flowparagliders.com.au/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/My%20Web%20Sitesf/flow/www.flowparagliders.com.au/wp-includes/js/jquery/jquery.minf43b.js	(from https://www.flowparagliders.com.au/)
23:21:21	13577/13577	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264d49db0-3509%22	https://www.flowparagliders.com.au/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/My%20Web%20Sitesf/flow/www.flowparagliders.com.au/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://www.flowparagliders.com.au/)
23:21:21	9636/9636	---MCZ	200	added ('OK')	application/javascript	etag:W/%2269ba2342-25a4%22	https://www.flowparagliders.com.au/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.min.js?ver=2.7.0-wc.10.6.1	C:/My%20Web%20Sitesf/flow/www.flowparagliders.com.au/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.minb9fc.js	(from https://www.flowparagliders.com.au/)
23:21:22	4350/4350	---MCZ	200	added ('OK')	application/javascript	etag:W/%2269ba2342-10fe%22	https://www.flowparagliders.com.au/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.min.js?ver=10.6.1	C:/My%20Web%20Sitesf/flow/www.flowparagliders.com.au/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.minaf94.js	(from https://www.flowparagliders.com.au/)
23:21:22	1286/1286	---MCZ	200	added ('OK')	application/javascript	etag:W/%2269ba2342-506%22	https://www.flowparagliders.com.au/wp-content/plugins/woocommerce/assets/js/frontend/geolocation.min.js?ver=10.6.1	C:/My%20Web%20Sitesf/flow/www.flowparagliders.com.au/wp-content/plugins/woocommerce/assets/js/frontend/geolocation.minaf94.js	(from https://www.flowparagliders.com.au/)
23:21:22	1720/1720	---MCZ	200	added ('OK')	application/javascript	etag:W/%2269ba2342-6b8%22	https://www.flowparagliders.com.au/wp-content/plugins/woocommerce/assets/js/js-cookie/js.cookie.min.js?ver=2.1.4-wc.10.6.1	C:/My%20Web%20Sitesf/flow/www.flowparagliders.com.au/wp-content/plugins/woocommerce/assets/js/js-cookie/js.cookie.min3bb5.js	(from https://www.flowparagliders.com.au/)
23:21:23	4131/4131	---MCZ	200	added ('OK')	application/javascript	etag:W/%2269ba2342-1023%22	https://www.flowparagliders.com.au/wp-content/plugins/woocommerce/assets/js/frontend/woocommerce.min.js?ver=10.6.1	C:/My%20Web%20Sitesf/flow/www.flowparagliders.com.au/wp-content/plugins/woocommerce/assets/js/frontend/woocommerce.minaf94.js	(from https://www.flowparagliders.com.au/)
23:21:24	159416/159416	---MCZ	200	added ('OK')	application/json	date:Sat,%2018%20Apr%202026%2020:21:23%20GMT	https://www.flowparagliders.com.au/wp-json/wp/v2/pages/8	C:/My%20Web%20Sitesf/flow/www.flowparagliders.com.au/wp-json/wp/v2/pages/8.json	(from https://www.flowparagliders.com.au/)
23:21:25	29063/29063	---MCZ	200	added ('OK')	text/css	etag:W/%224083f5d376eb849a458cc790b53ba080%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.6.3/css/font-awesome.min.css	C:/My%20Web%20Sitesf/flow/maxcdn.bootstrapcdn.com/font-awesome/4.6.3/css/font-awesome.min.css	(from https://www.flowparagliders.com.au/)
23:21:25	1314807/1314807	---MCZ	200	added ('OK')	application/json	date:Sat,%2018%20Apr%202026%2020:21:23%20GMT	https://www.flowparagliders.com.au/wp-json/	C:/My%20Web%20Sitesf/flow/www.flowparagliders.com.au/wp-json/index.html	(from https://www.flowparagliders.com.au/)
23:21:26	927/927	---M--	200	added ('OK')	image/png	etag:%2260ee104a-39f%22	https://www.flowparagliders.com.au/wp-content/uploads/2021/04/cropped-favicon-32x32.png	C:/My%20Web%20Sitesf/flow/www.flowparagliders.com.au/wp-content/uploads/2021/04/cropped-favicon-32x32.png	(from https://www.flowparagliders.com.au/)
23:21:26	8271/8271	---M--	200	added ('OK')	image/png	etag:%2260ee1048-204f%22	https://www.flowparagliders.com.au/wp-content/uploads/2021/04/cropped-favicon-192x192.png	C:/My%20Web%20Sitesf/flow/www.flowparagliders.com.au/wp-content/uploads/2021/04/cropped-favicon-192x192.png	(from https://www.flowparagliders.com.au/)
23:21:26	9094/9094	---M--	200	added ('OK')	image/png	etag:%2260ee1049-2386%22	https://www.flowparagliders.com.au/wp-content/uploads/2021/04/cropped-favicon-180x180.png	C:/My%20Web%20Sitesf/flow/www.flowparagliders.com.au/wp-content/uploads/2021/04/cropped-favicon-180x180.png	(from https://www.flowparagliders.com.au/)
23:21:28	1249/1249	---M--	200	added ('OK')	image/png	etag:%2260852952-4e1%22	https://flowparagliders.com.au/wp-content/uploads/2021/04/flow-paragliders-favicon-1.png	C:/My%20Web%20Sitesf/flow/flowparagliders.com.au/wp-content/uploads/2021/04/flow-paragliders-favicon-1.png	(from https://www.flowparagliders.com.au/)
23:21:29	3408/3408	---MCZ	200	added ('OK')	text/css	etag:W/%2269ba234c-d50%22	https://www.flowparagliders.com.au/wp-content/plugins/woocommerce-gateway-stripe/build/upe-blocks.css?ver=d4977b317f665a4df60d	C:/My%20Web%20Sitesf/flow/www.flowparagliders.com.au/wp-content/plugins/woocommerce-gateway-stripe/build/upe-blocksfcd1.css	(from https://www.flowparagliders.com.au/)
23:21:29	14006/14006	---MCZ	200	added ('OK')	text/css	etag:W/%2269ba2342-36b6%22	https://www.flowparagliders.com.au/wp-content/plugins/woocommerce/assets/client/blocks/wc-blocks.css?ver=wc-10.6.1	C:/My%20Web%20Sitesf/flow/www.flowparagliders.com.au/wp-content/plugins/woocommerce/assets/client/blocks/wc-blocksd2b9.css	(from https://www.flowparagliders.com.au/)
23:21:30	5306/5306	---MCZ	200	added ('OK')	text/css	etag:W/%2269b9d11b-14ba%22	https://www.flowparagliders.com.au/wp-content/plugins/woocommerce-currency-switcher/css/front.css?ver=2.4.6	C:/My%20Web%20Sitesf/flow/www.flowparagliders.com.au/wp-content/plugins/woocommerce-currency-switcher/css/front2f91.css	(from https://www.flowparagliders.com.au/)
